# ETP Sico - Servidor SICO-SRV01 - registo de acessos
# Formato: DATA HORA | NIVEL | MENSAGEM | user=<utilizador> | ip=<endereco>
# Niveis: INFO (normal) | WARN (aviso) | FAILED (autenticacao falhada)
2026-09-14 08:03:26 | FAILED | login falhou | user=test | ip=212.55.9.201
2026-09-14 08:13:41 | FAILED | login falhou | user=administrator | ip=185.242.66.9
2026-09-14 08:21:06 | INFO | login OK | user=daniel | ip=192.168.10.31
2026-09-14 08:26:08 | FAILED | login falhou | user=root | ip=41.203.7.88
2026-09-14 08:27:29 | FAILED | login falhou | user=sa | ip=78.153.140.17
2026-09-14 08:28:18 | INFO | sessao terminada | user=rodrigo | ip=192.168.10.14
2026-09-14 08:28:44 | FAILED | login falhou | user=root | ip=185.242.66.9
2026-09-14 08:30:43 | INFO | sessao terminada | user=ricardo | ip=192.168.10.14
2026-09-14 08:38:42 | INFO | login OK | user=andre | ip=192.168.10.55
2026-09-14 08:56:53 | FAILED | login falhou | user=test | ip=78.153.140.17
2026-09-14 08:59:12 | FAILED | login falhou | user=oracle | ip=41.203.7.88
2026-09-14 09:01:23 | INFO | sessao terminada | user=silvia | ip=192.168.10.55
2026-09-14 09:13:21 | FAILED | login falhou | user=pi | ip=103.77.12.104
2026-09-14 09:14:43 | FAILED | login falhou | user=pi | ip=185.242.66.9
2026-09-14 09:20:10 | INFO | login OK | user=rodrigo | ip=192.168.10.31
2026-09-14 09:24:57 | FAILED | login falhou | user=test | ip=45.155.205.233
2026-09-14 09:34:22 | INFO | login OK | user=igor | ip=192.168.10.42
2026-09-14 09:40:48 | FAILED | login falhou | user=sa | ip=212.55.9.201
2026-09-14 10:18:53 | FAILED | login falhou | user=oracle | ip=41.203.7.88
2026-09-14 10:29:53 | FAILED | login falhou | user=admin | ip=45.155.205.233
2026-09-14 10:30:45 | INFO | ficheiro aberto | user=igor | ip=192.168.10.14
2026-09-14 10:33:42 | INFO | sessao terminada | user=igor | ip=192.168.10.31
2026-09-14 11:10:57 | INFO | backup concluido | user=afonso | ip=192.168.10.42
2026-09-14 11:11:06 | INFO | password alterada | user=andre | ip=192.168.10.14
2026-09-14 11:21:22 | FAILED | login falhou | user=oracle | ip=103.77.12.104
2026-09-14 11:33:03 | INFO | ficheiro aberto | user=afonso | ip=192.168.10.55
2026-09-14 11:38:15 | INFO | login OK | user=silvia | ip=192.168.10.55
2026-09-14 11:46:28 | FAILED | login falhou | user=pi | ip=103.77.12.104
2026-09-14 12:03:38 | INFO | password alterada | user=ricardo | ip=192.168.10.14
2026-09-14 12:05:41 | WARN | latencia elevada | user=- | ip=103.77.12.104
2026-09-14 12:15:20 | FAILED | login falhou | user=andre | ip=192.168.10.27
2026-09-14 12:17:02 | INFO | password alterada | user=andre | ip=192.168.10.42
2026-09-14 12:18:29 | FAILED | login falhou | user=sa | ip=41.203.7.88
2026-09-14 12:30:39 | INFO | ficheiro aberto | user=andre | ip=192.168.10.31
2026-09-14 12:41:54 | WARN | latencia elevada | user=- | ip=103.77.12.104
2026-09-14 12:50:40 | FAILED | login falhou | user=guest | ip=103.77.12.104
2026-09-14 12:58:58 | WARN | latencia elevada | user=- | ip=41.203.7.88
2026-09-14 13:02:54 | INFO | backup concluido | user=igor | ip=192.168.10.42
2026-09-14 13:34:15 | FAILED | login falhou | user=administrator | ip=45.155.205.233
2026-09-14 13:36:22 | INFO | sessao terminada | user=ricardo | ip=192.168.10.55
2026-09-14 13:52:39 | FAILED | login falhou | user=andre | ip=192.168.10.27
2026-09-14 14:06:01 | INFO | password alterada | user=andre | ip=192.168.10.14
2026-09-14 14:23:35 | FAILED | login falhou | user=test | ip=45.155.205.233
2026-09-14 14:29:15 | INFO | sessao terminada | user=ricardo | ip=192.168.10.55
2026-09-14 14:32:47 | INFO | sessao terminada | user=andre | ip=192.168.10.27
2026-09-14 14:34:20 | FAILED | login falhou | user=administrator | ip=78.153.140.17
2026-09-14 14:35:17 | FAILED | login falhou | user=oracle | ip=91.240.118.6
2026-09-14 14:37:28 | FAILED | login falhou | user=pi | ip=185.242.66.9
2026-09-14 14:40:31 | INFO | password alterada | user=ricardo | ip=192.168.10.55
2026-09-14 14:49:29 | FAILED | login falhou | user=admin | ip=185.242.66.9
2026-09-14 15:17:04 | FAILED | login falhou | user=sa | ip=185.242.66.9
2026-09-14 15:31:11 | FAILED | login falhou | user=pi | ip=41.203.7.88
2026-09-14 15:34:06 | FAILED | login falhou | user=administrator | ip=41.203.7.88
2026-09-14 15:48:28 | INFO | ficheiro aberto | user=daniel | ip=192.168.10.42
2026-09-14 15:50:26 | FAILED | login falhou | user=guest | ip=41.203.7.88
2026-09-14 16:05:12 | WARN | latencia elevada | user=- | ip=192.168.10.55
2026-09-14 16:14:07 | FAILED | login falhou | user=andre | ip=192.168.10.27
2026-09-14 16:16:38 | INFO | ficheiro aberto | user=daniel | ip=192.168.10.27
2026-09-14 16:33:21 | INFO | ficheiro aberto | user=daniel | ip=192.168.10.55
2026-09-14 16:35:45 | INFO | password alterada | user=ricardo | ip=192.168.10.42
2026-09-14 16:42:03 | INFO | password alterada | user=daniel | ip=192.168.10.42
2026-09-14 16:45:09 | FAILED | login falhou | user=administrator | ip=78.153.140.17
2026-09-14 16:47:49 | FAILED | login falhou | user=guest | ip=78.153.140.17
2026-09-14 16:49:56 | WARN | latencia elevada | user=- | ip=41.203.7.88
2026-09-14 17:09:02 | INFO | backup concluido | user=silvia | ip=192.168.10.14
2026-09-14 17:17:42 | FAILED | login falhou | user=guest | ip=41.203.7.88
2026-09-14 17:24:02 | FAILED | login falhou | user=oracle | ip=41.203.7.88
2026-09-14 17:39:17 | FAILED | login falhou | user=sa | ip=185.242.66.9
2026-09-14 18:10:18 | FAILED | login falhou | user=administrator | ip=185.242.66.9
2026-09-14 18:28:41 | FAILED | login falhou | user=test | ip=185.242.66.9
2026-09-14 18:29:15 | FAILED | login falhou | user=sa | ip=103.77.12.104
2026-09-14 18:37:43 | FAILED | login falhou | user=admin | ip=41.203.7.88
2026-09-14 18:52:37 | INFO | password alterada | user=rodrigo | ip=192.168.10.14
2026-09-14 18:57:54 | INFO | ficheiro aberto | user=afonso | ip=192.168.10.31
2026-09-14 18:58:29 | INFO | backup concluido | user=igor | ip=192.168.10.55
2026-09-14 19:08:48 | WARN | latencia elevada | user=- | ip=192.168.10.14
